,Bidding Zone,Installed Capacity [MW],Name,Production Type,Start,Voltage Connection Level [kV]
44W-00000000006L,10YFI-1--------U,125,Raahen Voima,Other,2023-12-31 23:00:00+00:00,110
44W-00000000011S,10YFI-1--------U,124,Paskoonharju,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-00000000014M,10YFI-1--------U,250,Metsä Fibre Kemi,Biomass,2023-12-31 23:00:00+00:00,110
44W-00000000020R,10YFI-1--------U,211,Piiparinmäki tuulipuisto,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-00000000021P,10YFI-1--------U,200,Mutkalampi North,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-00000000022N,10YFI-1--------U,200,Mutkalampi South,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-00000000027D,10YFI-1--------U,380,Pjelax Windfarm,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-000000000299,10YFI-1--------U,238,Wind Farm Lappfjärd Oy,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-00000000036C,10YFI-1--------U,102,Norrskogenin tuulipuisto,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-000000000388,10YFI-1--------U,430,Kosolankankaan tuulivoimapuisto,Wind Onshore,2025-12-31 23:00:00+00:00,110
44W-00000000043F,10YFI-1--------U,221,Louhukangas ja Möksy,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-00000000054A,10YFI-1--------U,211,Karhukangas-Navettakangas,Wind Onshore,2025-12-31 23:00:00+00:00,110
44W-K-LV-000000Q,10YFI-1--------U,150,Haapavesi,Fossil Peat,2023-12-31 23:00:00+00:00,220
44W-T-KT-000001I,10YFI-1--------U,326,Forssa,Fossil Oil,2023-12-31 23:00:00+00:00,110
44W-T-KT-000002G,10YFI-1--------U,180,Huutokoski kt,Fossil Oil,2023-12-31 23:00:00+00:00,110
44W-T-KT-000003E,10YFI-1--------U,125,Olkiluoto kt,Fossil Oil,2023-12-31 23:00:00+00:00,110
44W-T-LV-000002P,10YFI-1--------U,450,Kristiina,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
44W-T-LV-000003N,10YFI-1--------U,565,Meri-Pori,Fossil Hard coal,2023-12-31 23:00:00+00:00,400
44W-T-LV-000004L,10YFI-1--------U,240,Tahkoluoto,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
44W-T-LV-000005J,10YFI-1--------U,128,Kellosaari,Fossil Oil,2023-12-31 23:00:00+00:00,110
44W-T-TV-000000N,10YFI-1--------U,117,Metsälä,Wind Onshore,2023-12-31 23:00:00+00:00,110
44W-T-VV-000003Y,10YFI-1--------U,192,Imatra,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,110
44W-T-VV-000004W,10YFI-1--------U,128,Isohaara,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,110
44W-T-VV-000005U,10YFI-1--------U,138,Ossauskoski,Hydro Run-of-river and poundage,2023-12-31 23:00:00+00:00,220
44W-T-VV-000012X,10YFI-1--------U,145,Haapaniemi,Fossil Peat,2023-12-31 23:00:00+00:00,110
44W-T-YT-000000S,10YFI-1--------U,240,Alholmens Kraft,Fossil Peat,2023-12-31 23:00:00+00:00,110
44W-T-YT-000001Q,10YFI-1--------U,210,Hanasaari,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
44W-T-YT-000002O,10YFI-1--------U,125,Kaukaan Voima,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-000003M,10YFI-1--------U,190,Keljonlahti,Fossil Peat,2023-12-31 23:00:00+00:00,110
44W-T-YT-000004K,10YFI-1--------U,170,Kymijärvi,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
44W-T-YT-000005I,10YFI-1--------U,142,Lielahti,Fossil Gas,2023-12-31 23:00:00+00:00,110
44W-T-YT-000006G,10YFI-1--------U,201,Naantali,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-000007E,10YFI-1--------U,129,Naistenlahti 1,Fossil Gas,2023-12-31 23:00:00+00:00,110
44W-T-YT-000008C,10YFI-1--------U,155,Salmisaari,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
44W-T-YT-000009A,10YFI-1--------U,120,Seinäjoki,Fossil Peat,2023-12-31 23:00:00+00:00,110
44W-T-YT-000010P,10YFI-1--------U,354,Suomenoja,Fossil Gas,2023-12-31 23:00:00+00:00,110
44W-T-YT-000011N,10YFI-1--------U,120,Toppila,Fossil Peat,2023-12-31 23:00:00+00:00,110
44W-T-YT-000012L,10YFI-1--------U,383,Vaskiluoto,Fossil Hard coal,2023-12-31 23:00:00+00:00,110
44W-T-YT-000013J,10YFI-1--------U,480,Vuosaari,Fossil Gas,2023-12-31 23:00:00+00:00,110
44W-T-YT-000014H,10YFI-1--------U,100,Kuusaanniemi,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-000015F,10YFI-1--------U,107,Uimaharju,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-000016D,10YFI-1--------U,143,Pietarsaari,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-000017B,10YFI-1--------U,260,Äänekoski,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-0000189,10YFI-1--------U,185,Kaukopää,Biomass,2023-12-31 23:00:00+00:00,110
44W-T-YT-000020M,10YFI-1--------U,167,Martinlaakso,Other,2023-12-31 23:00:00+00:00,110
44W-T-YV-000000A,10YFI-1--------U,496,Loviisa 1,Nuclear,2023-12-31 23:00:00+00:00,400
44W-T-YV-0000018,10YFI-1--------U,496,Loviisa 2,Nuclear,2023-12-31 23:00:00+00:00,400
44W-T-YV-0000026,10YFI-1--------U,890,Olkiluoto 1,Nuclear,2023-12-31 23:00:00+00:00,400
44W-T-YV-0000034,10YFI-1--------U,890,Olkiluoto 2,Nuclear,2023-12-31 23:00:00+00:00,400
44W-T-YV-0000042,10YFI-1--------U,1600,Olkiluoto 3,Nuclear,2023-12-31 23:00:00+00:00,400
44Y-000000005612,10YFI-1--------U,188.1,Karhunnevankankaan Tuulipuisto Oy,Wind Onshore,2023-12-31 23:00:00+00:00,110
